Steps,Completed_Maze,Number of coins
378,Yes,10
382,Yes,10
378,Yes,10
558,Yes,10
430,Yes,9
410,Yes,9
452,Yes,10
314,Yes,10
360,Yes,10
396,Yes,9
274,Yes,9
